"x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0.0344543826340765
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0.287723126719836
"45",0
"46",0
"47",4.034250010368
"48",0
"49",0
"50",0
"51",0
"52",4.05659923745456
"53",0
"54",0
"55",0.203250549212922
"56",0
"57",0
"58",0
"59",0
"60",0
"61",1.0948279246337
"62",0.0990433989583798
"63",0
"64",0.258850603006927
"65",0.289554660121068
"66",1.8063568245841
"67",0.933668761196707
"68",1.14646220928934
"69",0.00692866091302653
"70",1.15844863849865
"71",0.776224244488228
"72",0
"73",1.50213289911797
"74",2.37185609195653
"75",2.67632879590968
"76",1.27918416660073
"77",2.34915094779532
"78",2.62855272639772
"79",1.99055802151017
"80",1.93396826278573
"81",2.89873519802077
"82",1.3411938339901
"83",5.05354706474307
"84",2.84981376015602
"85",2.50509825516951
"86",4.64679259290079
"87",4.29274235696339
"88",3.88350005606136
"89",1.94620985745879
"90",3.30669542320985
"91",99.6840235211298
"92",99.4198895221399
"93",99.7368086249647
"94",100.919645881889
"95",99.0861927579496
"96",99.2488963627547
"97",108.388226642919
"98",109.425680160591
"99",108.388226642919
"100",106.003972397384
"101",104.292186223087
"102",105.228991388591
"103",106.882080132716
"104",107.784726937558
"105",106.750020754603
"106",105.748730771482
"107",106.246473419593
"108",106.654425231394
"109",107.994405103643
"110",107.033700045386
"111",105.879365201721
"112",103.170161498405
"113",103.336479020964
"114",106.794716685794
"115",104.758430486433
"116",103.391954119359
"117",104.327433412848
"118",105.320741020321
"119",102.102528941184
"120",103.568762245623
"121",105.834229647508
"122",103.092054720092
"123",106.83494974506
"124",109.904097086004
"125",109.025660183884
"126",103.320289350866
"127",107.743115733728
"128",109.923282381819
"129",109.128894177838
"130",109.543419499035
"131",103.931167329913
"132",105.981118460683
"133",108.863437534849
"134",102.880440855645
"135",108.07825519543
"136",111.85521024139
