Cluster ID	Time	Cell Stage	Parent cluster	MU PC 1	MU PC 2	MU PC 3	MU PC 4	MU PC 5	MU PC 6	MU PC 7	MU PC 8	MU PC 9	MU PC 10	MU PC 11	MU PC 12	MU PC 13	MU PC 14	MU PC 15	MU PC 16	MU PC 17	MU PC 18	MU PC 19	MU PC 20	MU PC 21	MU PC 22	MU PC 23	MU PC 24	MU PC 25	MU PC 26	MU PC 27	MU PC 28	MU PC 29	MU PC 30	MU PC 31	MU PC 32	MU PC 33	MU PC 34	MU PC 35	MU PC 36	MU PC 37	MU PC 38	MU PC 39	MU PC 40	MU PC 41	MU PC 42	MU PC 43	MU PC 44	MU PC 45	MU PC 46	MU PC 47	MU PC 48	MU PC 49	MU PC 50	MU PC 51	MU PC 52	MU PC 53	MU PC 54	MU PC 55	MU PC 56	MU PC 57	MU PC 58	MU PC 59
11	10	8	9	4.360236e+00	-6.836885e+00	-2.084835e+00	1.443810e-01	1.929786e+00	1.502092e+00	-4.247640e-01	-1.137808e+00	2.340881e-01	-5.363527e-01	-7.210217e-01	9.152630e-02	-4.100450e-01	-3.302302e-01	-1.166645e+00	-1.185966e+00	-8.691102e-01	5.195205e-01	9.565631e-02	-8.306932e-01	-5.754483e-01	-7.574630e-01	-8.757112e-02	-5.404829e-01	-1.038271e+00	-3.890742e-01	-2.932008e-01	-1.205872e+00	1.421976e-01	6.903855e-01	-7.015799e-01	-5.287045e-02	6.774776e-01	-5.060291e-01	-5.985852e-01	2.012929e-01	2.851507e-01	-3.112234e-01	-4.319082e-01	-2.794731e-01	-4.347045e-02	-5.978291e-01	-5.039128e-01	-2.617403e-01	-7.975567e-01	3.892253e-01	7.752282e-01	-7.560301e-01	9.888330e-01	-4.990643e-01	3.537207e-01	-1.131731e+00	1.874854e-01	-8.260494e-01	-5.531969e-01	-1.641895e-01	-8.618104e-01	-1.432964e-01	8.358376e-01
12	11	9	10	-1.367459e+01	-1.513768e+01	6.991904e+00	5.064549e+00	2.300098e+00	-4.521626e-01	-1.800250e+00	1.692640e+00	-1.056416e+00	1.687923e-01	-1.777609e-01	-1.786852e-01	-7.490424e-01	-2.962338e-01	5.749193e-01	5.233838e-01	3.327252e-01	1.073331e+00	-5.519551e-01	-2.638471e-02	1.395237e+00	-4.308729e-01	3.351850e-01	9.156153e-01	-4.144581e-01	5.286180e-01	4.418643e-01	-1.246926e+00	8.020185e-01	-4.282621e-02	5.675992e-01	-9.347128e-01	9.805005e-01	-2.904851e-01	2.503607e-01	-4.459967e-02	-9.973712e-01	3.053121e-01	-8.680782e-01	-6.547594e-01	1.330255e-01	-2.798401e-01	-3.377659e-01	4.073369e-01	-5.584483e-01	1.143600e+00	-8.572858e-03	-1.224522e+00	-4.745215e-01	2.544236e-01	-4.274781e-01	-1.037034e+00	3.895035e-01	8.785591e-02	3.796510e-01	4.545573e-01	3.916529e-01	-7.604559e-01	-1.076615e-01
13	11	9	11	6.665960e+00	-3.078435e+00	-1.121492e+00	6.170887e-01	2.858472e+00	1.813384e+00	-3.687536e-01	-3.987430e-01	3.215589e-01	-4.620687e-01	-4.547938e-01	-3.467734e-02	-6.529273e-01	-8.674326e-01	-1.598024e+00	-1.669070e+00	-5.760342e-01	8.809126e-01	1.057193e-01	-5.111644e-01	-8.583580e-01	-6.040060e-01	1.759189e-01	-7.614946e-01	-1.361099e+00	-7.879431e-02	4.177441e-02	-1.138302e+00	-4.817780e-02	5.522486e-01	5.060457e-02	-1.184317e-01	7.405271e-01	-1.426475e-01	-4.421017e-01	-4.895604e-02	4.253788e-01	1.086500e-01	-2.577762e-01	-1.606054e-01	-3.610174e-01	1.152503e-01	-4.958910e-01	-2.252623e-01	-6.732603e-01	2.405779e-01	4.150069e-01	-9.186337e-01	3.813425e-01	-2.940865e-01	-1.012900e-01	-6.381673e-01	-1.971599e-01	-9.779273e-02	-4.360455e-02	2.173632e-01	-2.219261e-01	-1.022347e-01	3.706219e-01
14	12	10	12	-1.542604e+01	-1.950424e+01	6.515143e+00	2.538088e+00	4.295839e-01	2.635147e-01	-1.682242e+00	-5.805630e-02	-9.305074e-01	4.557953e-01	-1.151245e-01	3.863404e-01	-1.135815e+00	3.369266e-01	1.792697e-01	4.916270e-01	2.362501e-01	-3.249167e-02	-5.154029e-01	-1.942949e-01	1.824981e+00	-2.588170e-01	8.204798e-01	-8.240765e-02	-4.828389e-01	-2.474272e-01	5.005292e-01	-5.749375e-01	1.365023e+00	-6.227802e-01	-1.422501e-01	-1.435505e-01	1.125978e+00	-1.869285e-01	-5.026286e-01	-8.415245e-02	-1.007051e+00	-2.332692e-01	-6.630594e-01	-3.259054e-01	1.476999e-01	3.189329e-01	-3.972219e-01	4.891625e-01	-3.155856e-01	-1.474159e-01	-4.425441e-01	-1.194307e+00	-3.303132e-01	6.832741e-01	-3.590389e-01	-4.838514e-01	4.685249e-01	-4.370620e-01	-1.816613e-01	-6.802937e-01	-1.092298e-01	-7.734800e-01	6.437292e-02
15	12	10	13	9.031511e-01	-4.122365e+00	-1.301960e+00	-4.229825e-01	2.178076e-01	1.567673e+00	-6.804935e-01	-6.410759e-01	7.024484e-01	-2.079945e-01	-6.168163e-01	4.106658e-02	-8.032522e-01	1.379804e-01	-9.446091e-01	-4.291858e-01	-2.119258e-01	1.284822e-01	5.086505e-02	-8.576669e-01	-3.735823e-02	-2.227643e-01	5.995786e-01	-7.862832e-01	-7.925472e-01	-9.808450e-02	1.730847e-01	-3.184768e-01	5.554610e-01	-7.294260e-03	-1.322871e-01	4.037419e-01	5.236864e-01	2.078331e-01	1.375096e-01	-1.447610e-01	3.871233e-01	-2.204865e-01	-5.695170e-01	-3.051688e-01	-1.164687e-01	1.213628e-02	-1.332933e-01	1.086169e-01	2.526847e-02	9.274389e-02	-1.502356e-02	-1.751663e-01	3.223143e-01	-4.548039e-01	-3.019875e-01	-4.175947e-01	2.519442e-01	-2.628858e-01	-1.979027e-02	-2.091999e-01	-2.796354e-01	5.300140e-02	-4.329246e-01
16	13	11	14	-1.160274e+01	-1.793448e+01	5.104057e+00	8.818580e-01	2.995271e-01	1.067136e+00	-1.278695e+00	-4.578213e-01	-4.518587e-01	-1.597652e-01	-1.768987e-01	6.223682e-01	-7.477601e-01	6.755865e-01	-2.642549e-01	-4.151733e-01	1.237924e-02	8.423551e-02	-1.694244e-01	-4.333461e-01	1.220959e+00	-3.157989e-01	6.898114e-01	-4.321298e-01	-1.159065e+00	-3.457657e-01	7.514676e-01	-8.975032e-01	8.547801e-01	8.593910e-02	-2.972489e-01	6.848541e-01	1.519689e+00	2.146886e-01	-1.635743e-01	-7.360527e-01	-1.786687e-01	-3.882434e-01	-7.395195e-01	-4.257155e-01	-2.362597e-01	1.285419e-01	-3.213761e-01	8.498462e-01	-3.940626e-01	-2.511370e-01	3.021913e-01	-9.125443e-01	-6.805732e-02	1.766881e-01	-5.268713e-01	-1.196220e+00	-1.747480e-01	2.015321e-01	-3.193726e-01	-5.457982e-01	-5.195072e-01	-9.252787e-01	2.084341e-01
17	13	11	15	1.916409e+00	-5.732980e+00	-6.509942e-01	-1.769585e+00	3.267795e-01	1.491422e+00	-7.550534e-01	-7.093924e-01	1.172882e-01	-3.070615e-01	-3.973885e-01	7.355035e-01	6.085431e-02	2.742995e-01	-8.330332e-01	-1.220480e+00	-5.724340e-01	-3.902002e-01	-8.560707e-02	-7.607567e-01	-2.509619e-01	-2.354980e-01	2.452369e-01	-4.606089e-01	-8.314521e-01	-1.330912e-01	6.228753e-02	-2.489314e-01	3.594483e-01	1.055280e-01	-2.731488e-01	2.999828e-01	1.107841e+00	-2.778147e-01	-2.200137e-01	-5.819970e-01	5.515866e-01	-7.874654e-01	-9.957007e-02	-1.161611e-01	5.217542e-02	1.647792e-01	1.721035e-01	8.695087e-02	-5.448578e-01	-1.804656e-01	6.635337e-01	-5.709614e-01	4.749892e-01	-1.708552e-01	9.876300e-02	-7.375995e-01	-5.345033e-02	-5.571409e-01	-9.356033e-01	-1.259772e-02	-2.908563e-01	-6.481963e-02	3.789841e-01
18	14	12	16	-1.397727e+01	-1.760435e+01	4.515875e+00	1.447999e+00	1.390654e+00	6.898166e-01	-1.835116e+00	-1.178805e+00	-7.341033e-01	2.554418e-01	-7.351050e-01	6.854705e-01	-1.003704e+00	1.360497e+00	-5.152150e-02	2.263156e-01	-1.498263e-01	6.528765e-01	7.662233e-01	-2.505423e-01	1.504369e+00	-3.930711e-01	1.051078e+00	-5.067946e-01	-6.526069e-01	-7.950669e-01	6.076757e-01	-1.017772e+00	1.059312e+00	-1.835527e-01	-2.940293e-01	5.508868e-01	1.124414e+00	-1.450871e-02	-5.576660e-01	-5.099098e-01	-1.770249e-02	-3.988934e-01	-8.388548e-01	8.821458e-02	2.629769e-01	2.748406e-01	-5.012705e-02	1.151548e+00	-5.581366e-01	-4.605822e-01	-7.369949e-02	-9.129265e-01	-4.925576e-01	5.926965e-02	-2.846926e-01	-1.425374e+00	-2.477197e-02	-1.126699e-01	-1.549668e-01	-8.911696e-01	-4.608428e-01	-2.185129e-01	1.130657e+00
19	14	12	17	-2.728862e+00	1.137475e+01	2.003867e+00	5.799706e+00	3.567381e+00	1.278244e+00	7.535561e-01	2.486060e+00	1.871932e+00	9.087892e-01	-8.918074e-01	1.234164e+00	-2.853121e-01	-1.430526e+00	-1.439422e+00	-1.000333e+00	1.484340e+00	-3.996633e-01	2.662800e-01	-3.010637e+00	-5.898580e-01	-3.299389e-01	1.282188e+00	-2.905713e-02	3.287468e-02	-8.064538e-01	2.119329e+00	-7.327295e-01	-1.295612e+00	3.990932e-02	1.463427e+00	-9.327446e-01	1.272543e+00	-7.813418e-01	2.093255e-01	5.043118e-01	-4.405602e-02	1.165853e+00	2.138919e-01	2.065324e-01	8.097399e-01	1.641925e-01	-1.840596e-01	-2.381886e+00	1.871434e+00	6.803457e-01	-2.842948e-01	-1.829662e-01	-7.473688e-01	1.557730e+00	-5.183094e-01	-5.039708e-01	8.557471e-01	5.390179e-01	8.387244e-01	-4.789802e-01	1.855053e+00	-1.725268e-01	-2.625993e-01
20	15	13	18	-1.010716e+01	-1.032847e+01	2.536051e-01	-1.959416e+00	1.244460e+00	2.980015e-01	4.167144e-01	-9.499650e-01	5.221156e-01	1.290845e-01	-5.870064e-01	9.265362e-01	1.026282e+00	-1.031400e-01	-6.722862e-01	-1.825157e-01	-3.061574e-01	-1.144539e+00	5.697818e-01	-1.613171e+00	1.117232e+00	5.191728e-01	1.447929e-01	2.146124e-01	-9.894858e-01	-4.935285e-01	6.678015e-01	-1.342124e+00	-8.268929e-01	4.858868e-01	-2.627472e-01	2.358597e-02	-3.600703e-02	-1.019933e-01	4.802087e-01	-7.581489e-01	-2.758430e-01	6.931565e-01	5.635641e-02	2.384841e-01	6.824494e-02	2.759467e-01	-1.755258e-01	-3.775246e-01	6.248632e-02	-1.062318e+00	2.139622e-01	5.358352e-01	-2.070960e-01	-1.575571e-01	-1.946713e-01	1.002770e+00	1.293593e-01	-5.439563e-01	-4.800882e-01	-4.129668e-02	5.830586e-02	7.949285e-01	-2.151722e-01
21	15	13	19	2.340549e+00	2.613073e+00	6.577298e-02	6.677573e-01	-2.289784e-01	-3.889711e-02	-1.326295e-01	2.787102e-01	-1.152995e-01	-1.048709e-02	1.225341e-01	-2.066395e-01	-2.985853e-01	2.593451e-02	1.479342e-01	3.262627e-02	1.084604e-01	3.088207e-01	-1.300951e-01	3.614296e-01	-2.777451e-01	-1.524950e-01	9.203223e-03	-6.787373e-02	2.498690e-01	9.825203e-02	-1.215187e-01	3.203492e-01	2.145573e-01	-1.318402e-01	9.357368e-02	-1.405052e-02	5.847039e-02	1.081759e-02	-1.345113e-01	2.010273e-01	7.192245e-02	-1.682464e-01	-2.770605e-02	-5.725604e-02	3.786379e-03	-6.425049e-02	4.178876e-02	7.505065e-02	1.022398e-02	2.863244e-01	-6.407150e-02	-1.645255e-01	2.963922e-02	7.480086e-02	3.525968e-02	-3.054153e-01	-1.736114e-02	1.530159e-01	1.413246e-01	-1.700598e-02	1.298437e-02	-2.188798e-01	7.480197e-02
