T1,T2,T3
3.011768,16.463278,12.502935
1.942782,18.846198,14.424816
2.398650,20.933501,8.381328
1.608046,18.713297,13.703205
2.817294,17.954551,12.507303
3.874756,18.836121,2.253312
4.866673,19.339121,15.098260
3.212933,18.582941,2.266991
-2.869826,20.288882,6.370521
0.532401,18.071709,8.230861
7.899047,20.474399,14.034550
3.455728,18.901529,13.909529
-6.640997,14.335552,10.657683
-7.556023,14.271055,12.492651
-5.826973,14.125325,12.231605
-5.845838,11.419675,12.303303
-5.254857,12.829900,13.331642
-5.924035,12.008212,12.794511
-6.245644,12.255326,14.702381
2.945686,22.133097,8.819840
4.803924,18.370912,13.071576
-0.932849,19.257957,8.597935
4.405234,20.839722,8.985538
6.326992,12.640040,12.144302
3.199296,17.122601,8.094954
-2.044913,20.137247,6.485823
-2.338407,20.796437,7.046377
4.592627,20.019678,6.878507
5.597524,21.426026,7.113741
-1.496046,20.913273,7.777778
3.929102,18.755643,13.892585
4.827210,18.277751,7.341233
7.480616,18.718129,9.157278
-1.605440,18.565349,7.880683
-1.345034,18.666233,6.584994
5.659639,20.762595,8.719359
4.800868,17.781216,13.948073
5.197768,21.387128,10.190308
0.039440,19.896541,6.799155
-5.737389,11.463173,14.446997
-6.734577,14.830257,11.396381
-6.191974,15.690028,12.349692
-6.089020,12.618882,12.676738
-7.240179,13.062362,13.863074
-4.217656,14.711076,11.066403
17.640647,6.635816,7.740139
18.155102,7.039689,7.742206
17.501653,8.252112,5.763962
17.799343,8.965871,6.229839
17.925079,11.798115,1.332356
17.418047,8.088621,7.023756
17.147520,11.523519,2.246572
18.490951,10.685748,3.965442
16.759325,11.253429,2.728792
17.130944,9.151907,4.220078
16.646557,11.642966,1.816390
17.273239,9.908224,3.332768
6.173980,15.803120,2.605614
13.522142,16.260772,2.946084
7.972422,19.933669,0.669332
12.168780,17.454735,3.582844
11.495745,16.870531,4.479028
7.007021,17.628392,0.189456
6.067727,19.359746,0.174459
9.858028,20.725403,0.438504
15.011728,9.819271,8.734964
11.453000,17.851925,3.218275
9.943248,14.833180,-0.121507
11.697050,11.327225,8.075901
11.964319,10.962093,6.354263
12.835574,8.776985,7.990537
13.491600,10.689964,6.646540
12.547487,10.394820,5.429487
9.802038,12.601923,6.570117
12.195431,12.589652,3.956321
6.374436,19.595622,2.452785
5.011382,19.489488,5.425853
-1.881930,14.356264,6.206904
10.871828,4.326063,10.099551
8.813744,4.098994,8.654165
-3.313750,12.188495,6.713763
8.957571,1.527881,7.714403
-1.459029,11.575314,7.799725
-2.841409,12.215007,7.101613
-5.448713,13.200946,12.681790
-2.747259,11.101820,9.388581
8.456438,4.747482,8.076519
7.819541,4.699303,8.650952
10.735814,1.834888,10.815176
10.877014,1.997218,9.300581
10.491078,1.552717,8.916553
11.718130,5.215000,7.755671
10.950985,2.238291,8.559183
11.581684,1.280271,9.705101
10.488818,3.237134,10.276530
10.821619,0.728006,9.574020
10.921446,1.091674,8.418725
9.642739,1.464873,9.944388
-16.029403,12.904471,-0.965013
-19.663580,13.882077,-0.832143
-14.043668,13.390222,0.735955
11.386119,4.651077,11.384326
-19.556125,12.447306,-0.662139
-13.578644,13.486442,1.033008
-15.083193,12.686203,-1.019256
-16.733128,13.440116,-1.291088
-15.558257,12.167398,-1.198892
-22.135151,13.945748,0.195623
-20.333730,14.188285,0.101800
-21.317777,15.414624,-0.074270
-18.898648,16.445922,-0.908908
-20.153463,15.386010,0.645468
-21.097638,13.883975,-1.021566
7.795079,-0.140194,10.758481
-20.470211,14.442580,-2.850313
-21.358095,14.520431,0.900059
-20.870287,13.374110,0.173191
-18.530914,13.292787,-1.112575
-18.956827,14.940182,0.160431
-19.612859,13.151053,0.056247
-20.504580,13.047153,-1.298710
-20.225352,14.879263,-0.823544
-17.075310,12.876941,-1.645154
-16.749104,12.731366,-0.361360
-4.821879,11.848923,5.229162
-20.375143,16.633556,-0.923402
-18.693119,14.475745,-1.399402
-19.672759,15.522338,1.342635
-18.010941,14.231922,-0.506243
9.720916,-28.608957,8.808248
11.550416,-29.582734,4.454807
12.893817,-35.267773,7.314444
10.928693,-36.209658,5.246320
11.722441,-37.093999,8.048337
12.430141,-34.815003,7.088230
11.259285,-24.630335,4.168396
9.577189,-27.979743,5.854618
11.008887,-25.158828,5.569276
11.433870,-34.379684,6.518781
11.283475,-29.247136,5.533084
11.904817,-36.139299,6.582830
8.818103,-34.104855,9.017632
10.721029,-34.319701,4.948338
10.683825,-34.881340,6.775446
14.231312,-37.474698,5.449714
10.581652,-27.271649,13.714000
12.436940,-35.927719,4.983743
13.194185,-35.900008,6.009661
12.199222,-37.507047,6.282673
10.355608,-36.691482,6.703063
13.746555,-35.184750,8.559364
14.399666,-36.484608,8.292958
13.272972,-35.051148,4.334564
13.998323,-35.133427,6.495644
11.662412,-38.125740,4.979764
10.082586,-27.284671,15.444100
9.752513,-27.100329,15.654304
11.115983,-28.278506,7.349593
14.738336,-32.930922,7.624422
13.578873,-35.909335,9.020200
10.915362,-28.177332,6.313094
13.529014,-34.546279,7.507041
13.076816,-34.773896,9.675133
11.594619,-28.509192,6.648744
12.305424,-28.620069,7.197358
13.796958,-32.534085,8.556240
10.155204,-27.194536,15.090507
10.831703,-26.704129,13.525228
14.534682,-34.537864,8.012137
15.468993,-34.762357,8.563905
15.630133,-32.525298,7.065600
8.400199,-32.763951,11.782095
16.433243,-35.118812,9.016943
8.901663,-31.837942,11.409080
8.623133,-32.331488,11.083885
11.520120,-25.859774,6.319074
8.275769,-32.871167,10.834724
10.009546,-19.660949,1.936553
9.900441,-18.894167,1.024828
9.978925,-20.111507,2.002682
9.926908,-19.416233,1.558647
9.473361,-18.736439,1.165721
9.365460,-19.701513,2.233385
9.057260,-24.209090,8.208585
10.667947,-31.502189,8.501315
7.657465,-29.860860,7.920182
12.390877,-25.628183,6.130739
7.116705,-29.587884,7.573577
10.459670,-30.749627,5.827666
10.461819,-31.767670,8.101636
9.393527,-31.617231,7.030378
9.920200,-27.756230,8.692749
9.276311,-26.863470,8.923352
12.994704,-29.029225,9.480836
11.721629,-25.570911,9.002696
12.441469,-26.268470,9.168222
9.629519,-28.553174,12.381582
12.891881,-30.519143,10.260253
12.106490,-30.632404,11.895391
10.982052,-23.411851,9.464202
9.380481,-28.332800,12.166922
11.828625,-29.595274,10.171981
12.624650,-30.937154,11.564023
11.017534,-24.493150,9.152371
12.989419,-30.147875,9.693389
13.513106,-30.472574,11.051790
12.592295,-27.605239,10.168561
12.355600,-27.126812,11.071574
12.578401,-25.752148,9.741009
12.545342,-25.771494,10.506979
15.000486,-28.698991,12.748612
12.900309,-28.128991,11.340240
13.562264,-28.774269,11.959920
11.762132,-27.250598,10.835781
14.296277,-28.002436,12.174077
10.631501,16.778612,1.664296
8.181186,18.449377,2.052780
8.255598,17.778977,1.572836
8.203222,16.833338,1.484696
9.752183,18.009770,1.203787
8.433342,18.930269,1.425894
8.750326,16.859550,0.978459
8.761343,17.778442,2.147028
8.528309,17.868528,0.204738
