Cell_1,0.004005651
Cell_2,0.010527377
Cell_3,0.008801321
Cell_4,0.024071357
Cell_5,0.005353567
Cell_6,0.010920506
Cell_7,0.010318621
Cell_8,0.000153474
Cell_9,0.000136212
Cell_10,0.002032305
Cell_11,0
Cell_12,0.001867751
Cell_15,0.026374523
Cell_16,0.030160685
Cell_17,0.041021124
Cell_18,0.044237978
Cell_19,0.095407521
Cell_20,0.008318734
Cell_21,0.096307109
Cell_22,0.031455432
Cell_23,0.042472445
Cell_24,0.029085604
Cell_25,0.089292315
Cell_26,0.038127764
Cell_27,0.692217432
Cell_28,0.655430968
Cell_29,0.656355149
Cell_30,0.705106136
Cell_31,0.691768769
Cell_32,0.704891972
Cell_33,0.714550106
Cell_34,0.664837284
Cell_35,0.187406405
Cell_36,0.269203285
Cell_37,0.26693224
Cell_38,0.266923524
Cell_39,0.558495856
Cell_40,0.511669108
Cell_41,0.578453656
Cell_42,0.509714967
Cell_43,0.547345587
Cell_44,0.564389083
Cell_45,0.547694035
Cell_46,0.660324257
Cell_47,0.979607884
Cell_48,1
Cell_49,0.441970005
Cell_50,0.980469977
Cell_51,0.99981665
Cell_52,0.994004068
Cell_53,0.997897915
Cell_54,0.360800534
Cell_55,0.998098164
Cell_56,0.99406092
Cell_57,0.981380669
Cell_58,0.939745777
Cell_59,0.99405846
Cell_60,0.780697977
Cell_61,0.981635083
Cell_62,0.986543999
Cell_63,0.297170689
Cell_64,0.297170689
Cell_65,0.297170689
Cell_66,0.297170689
Cell_67,0.297170689
Cell_68,0.297170689
Cell_69,0.297170689
Cell_70,0.297170689
Cell_71,0.297170689
Cell_72,0.297170689
Cell_73,0.297170689
Cell_74,0.297170689
Cell_75,0.297170689
Cell_76,0.297170689
Cell_77,0.297170689
Cell_78,0.297170689
Cell_79,0.297170689
Cell_80,0.297170689
Cell_81,0.297170689
Cell_82,0.297170689
Cell_83,0.297170689
Cell_84,0.297170689
Cell_85,0.297170689
Cell_86,0.297170689
Cell_87,0.297170689
Cell_88,0.297170689
Cell_89,0.297170689
Cell_90,0.297170689
Cell_91,0.297170689
Cell_92,0.297170689
Cell_125,0.399954741
Cell_126,0.39967655
Cell_127,0.399681676
Cell_128,0.399429935
Cell_129,0.400281001
Cell_130,0.39904216
Cell_131,0.394511333
Cell_132,0.393767112
Cell_133,0.396999693
Cell_134,0.397495972
Cell_135,0.397061085
Cell_136,0.396222037
Cell_137,0.397193589
Cell_138,0.395645566
Cell_139,0.395800067
Cell_140,0.395836525
Cell_141,0.395247402
Cell_142,0.395372963
Cell_143,0.392110112
Cell_144,0.397912901
