,0
Cell_1,0.006556437491938398
Cell_2,0.013061360589539415
Cell_3,0.01133975143928675
Cell_4,0.0265704445900183
Cell_5,0.007900880634724864
Cell_6,0.013453475977015432
Cell_7,0.0
Cell_8,0.0027141846617608637
Cell_9,0.0026969669117750403
Cell_10,0.004588175448747814
Cell_11,0.0025611062974758097
Cell_12,0.004424045264322441
Cell_15,0.02886767666949537
Cell_16,0.032644082840170514
Cell_17,0.043476539544425236
Cell_18,0.04668510574441137
Cell_19,0.09772280029153352
Cell_20,0.010858407217100408
Cell_21,0.09862007003724033
Cell_22,0.033935494223327714
Cell_23,0.04492412165212101
Cell_24,0.031571772518475094
Cell_25,0.0916233518967162
Cell_26,0.04059063464549664
Cell_27,0.692990862526319
Cell_28,0.6563002234587505
Cell_29,0.6572219978895051
Cell_30,0.7058459810715448
Cell_31,0.6925433679695737
Cell_32,0.7056323750800971
Cell_33,0.7152653385534123
Cell_34,0.665682042077316
Cell_35,0.18948459732783623
Cell_36,0.2710706355668865
Cell_37,0.26880544675811185
Cell_38,0.2687967534232507
Cell_39,0.559611427107053
Cell_40,0.5129078696287239
Cell_41,0.57951662860811
Cell_42,0.5109588617226324
Cell_43,0.5484905209754172
Cell_44,0.5654891276443714
Cell_45,0.548838051719735
Cell_46,0.6611807695290847
Cell_47,0.979660258538058
Cell_48,1.0
Cell_49,0.44339113609244646
Cell_50,0.9805201372084159
Cell_51,0.9998171213200515
Cell_52,0.9940194685983906
Cell_53,0.9979033149289125
Cell_54,0.36243097988735445
Cell_55,0.9981030489832957
Cell_56,0.9940761747738993
Cell_57,0.9814284905575169
Cell_58,0.9399004981020364
Cell_59,0.9940737208830647
Cell_60,0.7812407565150319
Cell_61,0.9816822516215585
Cell_62,0.9865785603139188
Cell_63,0.29892600774371786
Cell_64,0.29892600774371786
Cell_65,0.29892600774371786
Cell_66,0.29892600774371786
Cell_67,0.29892600774371786
Cell_68,0.29892600774371786
Cell_69,0.29892600774371786
Cell_70,0.29892600774371786
Cell_71,0.29892600774371786
Cell_72,0.29892600774371786
Cell_73,0.29892600774371786
Cell_74,0.29892600774371786
Cell_75,0.29892600774371786
Cell_76,0.29892600774371786
Cell_77,0.29892600774371786
Cell_78,0.29892600774371786
Cell_79,0.29892600774371786
Cell_80,0.29892600774371786
Cell_81,0.29892600774371786
Cell_82,0.29892600774371786
Cell_83,0.29892600774371786
Cell_84,0.29892600774371786
Cell_85,0.29892600774371786
Cell_86,0.29892600774371786
Cell_87,0.29892600774371786
Cell_88,0.29892600774371786
Cell_89,0.29892600774371786
Cell_90,0.29892600774371786
Cell_91,0.29892600774371786
Cell_92,0.29892600774371786
Cell_125,0.401482493625292
Cell_126,0.4012050357823608
Cell_127,0.40121014837531205
Cell_128,0.40095907063143243
Cell_129,0.4018078932593948
Cell_130,0.4005723182782282
Cell_131,0.3960534296809565
Cell_132,0.3953111690707587
Cell_133,0.3985352329939647
Cell_134,0.3990302052134822
Cell_135,0.3985964632733164
Cell_136,0.3977596268799184
Cell_137,0.398728618531852
Cell_138,0.39718467421918874
Cell_139,0.3973387678212519
Cell_140,0.39737512999049035
Cell_141,0.3967875589840013
Cell_142,0.396912789183121
Cell_143,0.3936585323807884
Cell_144,0.39944603507295573
Cell_145,0.398370306940846
