X	Type	Cluster	halo	delta	Sex	Time	Size_Factor	CellType	peaks	rho	Pseudotime	State	
cell_87	cell_87	ES	FALSE	FALSE	0	0	6	1.243018539	3	0.199579191	4.018380535	19.40568105	5
cell_88	cell_88	ES	FALSE	FALSE	0	0	6	1.135064076	3	0.977441512	0.007237589	18.30758323	6
cell_89	cell_89	ES	FALSE	FALSE	0	0	6	1.234426245	1	0.728215744	0.065554392	16.74135231	5
cell_90	cell_90	ES	FALSE	FALSE	0	0	6	1.020500155	3	0.372613956	3.241924887	18.31372494	6
cell_91	cell_91	ES	FALSE	FALSE	0	0	6	1.172077035	3	0.146042579	3.912966734	19.31438454	5
cell_92	cell_92	ES	FALSE	FALSE	0	0	6	1.17692397	3	0.218211826	3.813903617	19.21881466	5
cell_358	cell_358	Soma	FALSE	TRUE	2	2	8	0.782559704	5	0.823225357	0.891173973	34.74625131	6
cell_359	cell_359	Unknown	FALSE	FALSE	2	2	8	0.86870296	5	0.083096511	1.741005377	30.75035314	6
cell_360	cell_360	Soma	FALSE	FALSE	2	2	8	0.832791577	5	0.128661222	2.440961329	35.19139992	6
cell_361	cell_361	Soma	FALSE	TRUE	2	2	8	1.010365654	5	0.25818328	0.919230954	29.28686631	6
cell_362	cell_362	Soma	FALSE	TRUE	2	2	8	1.016754796	5	0.995488484	1.272558231	29.71163395	6
cell_363	cell_363	Soma	FALSE	FALSE	2	2	8	0.83080874	5	1.508381582	2.047375936	34.49335575	6
cell_364	cell_364	Soma	FALSE	TRUE	2	2	8	1.033278438	5	0.447029217	1.505994629	28.08678684	6
cell_365	cell_365	Soma	FALSE	TRUE	2	2	8	0.914087898	5	0.612396879	0.899518245	33.64330504	6
cell_366	cell_366	Soma	FALSE	TRUE	2	2	8	0.927527127	5	0.391221846	1.312835331	28.83469939	6
cell_367	cell_367	Soma	FALSE	TRUE	2	2	8	0.912986322	5	0.326464508	1.485267728	33.71634555	6
cell_368	cell_368	Unknown	FALSE	FALSE	2	2	8	0.799303662	5	0.910674077	1.894490913	37.42283077	6
cell_369	cell_369	Soma	FALSE	FALSE	2	2	8	0.959472836	5	0.146481691	2.072646183	29.75723852	6
cell_370	cell_370	Soma	FALSE	TRUE	2	2	8	0.981063728	5	0.490048106	0.419238203	29.27614559	6
cell_371	cell_371	Soma	FALSE	FALSE	2	2	8	1.109066878	5	0.340830211	1.674436565	25.02775519	6
cell_372	cell_372	Soma	FALSE	TRUE	2	2	8	1.027990873	5	0.718747694	0.700959592	28.86243699	6
cell_373	cell_373	Soma	FALSE	TRUE	2	2	8	1.112591922	5	0.380539776	1.537092255	27.65234622	6
cell_374	cell_374	Unknown	FALSE	TRUE	2	2	8	0.618204541	4	0.27787428	0.737392014	37.75669857	6
cell_375	cell_375	Soma	FALSE	TRUE	2	2	8	0.988774762	5	0.338964397	0.873349557	32.05389909	6
cell_376	cell_376	Soma	FALSE	TRUE	2	2	8	0.913206637	5	0.31165719	0.826450939	33.40903742	6
cell_377	cell_377	Soma	FALSE	TRUE	2	2	8	1.002654621	5	0.439480183	0.534406537	29.70173387	6
cell_378	cell_378	Ambiguous	FALSE	TRUE	2	2	8	1.073155495	5	0.449670733	0.82251381	25.46002914	6
cell_379	cell_379	Soma	FALSE	FALSE	2	2	8	0.795337988	5	0.227533484	1.892939226	37.64762007	6
cell_380	cell_380	Soma	FALSE	TRUE	2	2	8	0.80679438	4	1.15620131	0.339718748	32.1278857	6
cell_381	cell_381	Soma	FALSE	FALSE	2	2	8	1.057072484	5	0.250729281	2.414750202	28.86514551	6
cell_382	cell_382	Soma	FALSE	TRUE	2	2	8	0.734971614	5	0.335385179	0.858318393	37.77026278	6
cell_383	cell_383	Soma	FALSE	TRUE	2	2	8	1.179127122	5	0.178197515	0.860393657	24.31641541	6
cell_384	cell_384	Unknown	FALSE	TRUE	2	2	10	0.741360756	4	0.989983088	0.967807578	33.77865181	6
cell_385	cell_385	Unknown	FALSE	TRUE	2	2	10	0.842705763	4	0.430761421	0.412431546	28.82907032	6
cell_386	cell_386	Soma	FALSE	TRUE	2	2	10	0.666453577	5	0.862064762	0.026607056	37.87566136	6
cell_387	cell_387	Soma	FALSE	FALSE	2	2	10	0.667555153	5	1.411791291	2.28430412	36.27633619	6
cell_388	cell_388	Soma	FALSE	FALSE	2	2	10	0.896682995	5	0.315896099	1.699810045	32.75032904	6
cell_389	cell_389	Soma	FALSE	TRUE	2	2	10	0.658962859	4	0.831626771	0.072526671	37.83049781	6
cell_390	cell_390	Soma	FALSE	FALSE	2	2	10	0.726819951	5	0.260984022	1.721478108	37.7216993	6
cell_391	cell_391	Soma	FALSE	FALSE	2	2	10	0.843366708	5	0.349136208	1.701777015	33.61318359	6
cell_392	cell_392	Soma	FALSE	TRUE	2	2	10	0.601460584	5	0.312114378	0.616660706	37.9901735	6
cell_393	cell_393	Soma	FALSE	TRUE	2	2	10	0.614238867	5	0.510460155	0.516008736	38.04019211	6
cell_394	cell_394	Soma	FALSE	FALSE	2	2	10	0.65940349	5	0.401505886	1.968204407	36.48363784	6
cell_395	cell_395	Unknown	FALSE	TRUE	2	2	11	0.686942894	4	0.493307989	0.724390163	33.06731373	6
cell_396	cell_396	Ambiguous	FALSE	TRUE	2	2	11	0.709415047	4	0.238028131	1.503742808	36.75075401	6
cell_397	cell_397	Soma	FALSE	TRUE	2	2	11	0.675266186	5	0.431863256	1.570941582	37.80026233	6
cell_398	cell_398	Soma	FALSE	FALSE	2	2	11	0.789389477	5	0.110187986	1.787751965	37.11099312	6
cell_399	cell_399	Unknown	FALSE	TRUE	2	2	11	0.852619948	4	0.453880227	0.338861176	33.76933831	6
cell_400	cell_400	Unknown	FALSE	TRUE	2	2	11	0.85438247	5	0.481873796	0.740378344	33.32521312	6
cell_401	cell_401	Soma	FALSE	TRUE	2	2	11	0.834113469	5	0.590498636	0.58856341	32.07594007	6
cell_402	cell_402	Unknown	FALSE	TRUE	2	2	11	0.636050075	4	0.34547626	0.583340552	35.81631672	6
cell_403	cell_403	Unknown	FALSE	TRUE	2	2	13	0.719549548	5	0.383481211	1.097848481	33.67483513	6
cell_404	cell_404	Unknown	FALSE	TRUE	2	2	13	0.642439217	4	0.443773995	0.890691	37.67951546	6
cell_405	cell_405	Unknown	FALSE	TRUE	2	2	13	0.846891752	4	0.195771172	0.873318307	31.09591308	6
cell_406	cell_406	Soma	FALSE	TRUE	2	1	7	1.097830801	4	1.006787293	0.97869798	21.2808828	6
cell_407	cell_407	PGC	FALSE	FALSE	2	1	7	1.215038505	1	2.040431224	0.987533567	21.25081665	6
cell_408	cell_408	Soma	FALSE	TRUE	2	1	7	1.108185617	5	0.562440255	0.360417683	23.30174096	6
cell_409	cell_409	Soma	FALSE	TRUE	2	1	7	1.159519066	4	2.429158933	1.84545566	20.71849973	6
cell_410	cell_410	Ambiguous	FALSE	FALSE	2	1	7	1.258440606	1	0.048864186	0.987533567	20.16189439	6
cell_411	cell_411	Soma	FALSE	TRUE	2	1	7	1.120302955	5	0.906618346	0.029988855	22.8178723	6
cell_412	cell_412	Soma	FALSE	TRUE	2	1	9	1.139690696	5	0.171610732	1.230503965	24.43856603	6
cell_413	cell_413	Soma	FALSE	TRUE	2	1	9	0.892056375	5	0.326365897	1.525762792	32.04474468	6
cell_414	cell_414	Soma	FALSE	FALSE	2	1	9	0.929509964	5	0.603382959	2.347931158	33.50689485	6
cell_415	cell_415	Soma	FALSE	TRUE	2	1	9	0.851738687	4	1.057531911	0.937086539	33.65443491	6
cell_416	cell_416	Soma	FALSE	FALSE	2	1	9	1.056852168	5	0.183163946	2.414017557	27.63183212	6
cell_417	cell_417	Soma	FALSE	TRUE	2	1	9	0.877295254	5	1.022675445	0.004113379	36.82339439	6
cell_418	cell_418	Soma	FALSE	TRUE	2	1	9	0.900428354	4	0.729655519	0.259206888	34.00688293	6
cell_419	cell_419	Soma	TRUE	FALSE	2	1	9	0.996045164	5	7.382030067	2.705727137	32.08122797	6
cell_420	cell_420	Soma	FALSE	TRUE	2	1	9	0.752817148	4	0.562980964	1.174296623	37.65022736	6
cell_421	cell_421	Soma	FALSE	FALSE	2	1	9	0.918273887	5	3.084316069	2.539995816	33.32022514	6
cell_422	cell_422	Soma	FALSE	TRUE	2	1	10	0.490201391	4	0.082888854	2.450736366	38.01531077	6
cell_423	cell_423	Soma	FALSE	TRUE	2	1	10	0.597494909	4	0.480897869	1.996826461	37.82809398	6
cell_424	cell_424	Soma	FALSE	TRUE	2	1	10	0.561142896	5	0.222813651	0.806251631	37.77062912	6
cell_425	cell_425	Soma	FALSE	TRUE	2	1	10	0.738056027	4	0.191687441	1.332895989	37.65713017	6
cell_426	cell_426	Soma	FALSE	TRUE	2	1	11	0.669978621	4	0.387132084	0.690384139	37.78844311	6
cell_427	cell_427	Soma	FALSE	TRUE	2	1	11	0.782559704	5	0.471181313	0.585756926	36.66209913	6
cell_428	cell_428	Soma	FALSE	FALSE	2	1	11	0.93061154	5	0.416257482	1.864579617	26.35438122	6
cell_429	cell_429	Soma	FALSE	TRUE	2	1	11	0.809217847	4	0.07404367	0.977659668	34.29280913	6
cell_430	cell_430	Soma	FALSE	FALSE	2	1	11	0.684299111	5	0.318569419	1.804704819	37.82472331	6
cell_431	cell_431	Soma	FALSE	TRUE	2	1	11	0.765595431	5	0.414762906	0.965013101	36.01640068	6
cell_432	cell_432	Soma	FALSE	TRUE	2	1	11	0.851518372	4	0.342238519	1.1986772	29.29447059	6
cell_433	cell_433	Unknown	FALSE	TRUE	2	1	11	0.580310321	5	1.39088493	0.861503725	37.79849383	6
cell_434	cell_434	Soma	FALSE	TRUE	2	1	11	0.732988777	5	1.249431077	1.345870246	35.82238135	6
cell_435	cell_435	Soma	FALSE	TRUE	2	1	12	0.374095264	4	0.173738902	2.288676625	38.18720899	6
cell_436	cell_436	Soma	TRUE	FALSE	2	1	12	0.513554806	4	8.76505046	2.741604647	37.92967406	6
cell_437	cell_437	Soma	FALSE	TRUE	2	1	12	0.524350252	4	0.303583077	1.948242482	37.96331817	6
cell_438	cell_438	Soma	FALSE	FALSE	2	1	12	0.600799638	5	0.229676584	1.789894271	37.67613041	6
cell_439	cell_439	Soma	FALSE	TRUE	2	1	12	0.995824849	5	0.610115065	0.474309649	29.34147714	6
cell_440	cell_440	Soma	FALSE	TRUE	2	1	12	0.66403011	4	0.924523587	0.600098607	37.79322211	6
cell_441	cell_441	Soma	FALSE	TRUE	2	1	12	0.755240616	5	0.495603645	1.49466559	35.18691485	6
cell_442	cell_442	Soma	FALSE	TRUE	2	1	12	0.6219499	4	0.41114898	2.443021609	37.75357302	6
cell_443	cell_443	Soma	FALSE	TRUE	2	1	12	0.710957254	4	0.220939847	1.863713542	36.74060275	6
